"filename", "language", "Haskell", "vcd", "YAML", "Graphviz (DOT)", "XML", "JSON", "VHDL", "Xilinx Design Constraints", "Python", "Verilog", "C++", "Cabal", "Markdown", "Shell Script", "comment", "blank", "total"
"d:\git\clash-moisc\Clash\ClashProject\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 253, 0, 2, 78, 333
"d:\git\clash-moisc\Clash\ClashProject\Setup.hs", "Haskell", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\git\clash-moisc\Clash\ClashProject\bin\Clash.hs", "Haskell", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"d:\git\clash-moisc\Clash\ClashProject\bin\Clashi.hs", "Haskell", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"d:\git\clash-moisc\Clash\ClashProject\compileSpeicherTest.vcd", "vcd", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 65
"d:\git\clash-moisc\Clash\ClashProject\doc\Graph.svg", "XML", 0, 0, 0, 0, 482, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 130, 727
"d:\git\clash-moisc\Clash\ClashProject\doc\statemachine.dot", "Graphviz (DOT)", 0, 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 164
"d:\git\clash-moisc\Clash\ClashProject\generate_alu.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 1, 6
"d:\git\clash-moisc\Clash\ClashProject\generate_fsm.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 1, 6
"d:\git\clash-moisc\Clash\ClashProject\generate_iobuf.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 1, 5
"d:\git\clash-moisc\Clash\ClashProject\generate_ioctr.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 1, 5
"d:\git\clash-moisc\Clash\ClashProject\generate_mem.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 1, 5
"d:\git\clash-moisc\Clash\ClashProject\generate_moisc.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 1, 5
"d:\git\clash-moisc\Clash\ClashProject\mosicImpl.cabal", "Cabal", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 11, 16, 134
"d:\git\clash-moisc\Clash\ClashProject\mydump.vcd", "vcd", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"d:\git\clash-moisc\Clash\ClashProject\src\CyclicAccurate\CyclicAccurateInterfaces.hs", "Haskell", 235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 42, 280
"d:\git\clash-moisc\Clash\ClashProject\src\CyclicAccurate\CyclicAccurateMOISC.hs", "Haskell", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 43
"d:\git\clash-moisc\Clash\ClashProject\src\CyclicAccurate\CyclicAccurateStates.hs", "Haskell", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 44
"d:\git\clash-moisc\Clash\ClashProject\src\CyclicAccurate\Fsm.hs", "Haskell", 930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 203, 107, 1240
"d:\git\clash-moisc\Clash\ClashProject\src\CyclicAccurate\IoBuffer.hs", "Haskell", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 9, 63
"d:\git\clash-moisc\Clash\ClashProject\src\CyclicAccurate\IoController.hs", "Haskell", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 6, 117
"d:\git\clash-moisc\Clash\ClashProject\src\CyclicMonad\MonadInterfaces.hs", "Haskell", 254, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42, 300
"d:\git\clash-moisc\Clash\ClashProject\src\CyclicMonad\MonadMoisc.hs", "Haskell", 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 261, 20, 468
"d:\git\clash-moisc\Clash\ClashProject\src\Example\Bundletest.hs", "Haskell", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 32
"d:\git\clash-moisc\Clash\ClashProject\src\Example\MonadTest.hs", "Haskell", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 1, 47
"d:\git\clash-moisc\Clash\ClashProject\src\Example\MonoidTest.hs", "Haskell", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 57
"d:\git\clash-moisc\Clash\ClashProject\src\Example\Project.hs", "Haskell", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 20
